Year,Month,Day,Date,Temp_High,Temp_Avg,Temp_Low,Dew_High,Dew_Avg,Dew_Low,Hum_High,Hum_Avg,Hum_Low,Pres_High,Pres_Avg,Pres_Low,Vis_High,Vis_Avg,Vis_Low,Wind_High,Wind_Avg,Wind_Low,Rain,Condition
2017,Apr,1,4/1/2017,61,54,46,46,43,37,93,72,51,30.14,29.88,29.68,10,10,5,26,14,36,0.01,Rain
2017,Apr,2,4/2/2017,66,55,43,45,35,30,66,48,30,30.26,30.18,30.13,10,10,10,17,8,23,0,Normal
2017,Apr,3,4/3/2017,68,58,48,58,47,38,90,65,40,30.15,29.95,29.68,10,10,3,18,11,23,0.11,Rain
2017,Apr,4,4/4/2017,82,71,60,61,55,42,100,64,28,29.77,29.62,29.57,10,10,10,23,13,31,T,Normal
2017,Apr,5,4/5/2017,74,67,59,49,46,41,62,50,38,29.95,29.86,29.78,10,10,10,21,8,26,0,Normal
2017,Apr,6,4/6/2017,61,56,51,59,53,35,93,72,50,29.77,29.42,29.25,10,6,1,35,10,50,1.57,"Rain , Thunderstorm"
2017,Apr,7,4/7/2017,51,47,42,35,29,26,65,54,42,29.9,29.62,29.43,10,10,10,30,17,40,T,Rain
2017,Apr,8,4/8/2017,65,52,39,31,21,17,54,35,16,30.07,29.98,29.91,10,10,10,23,10,33,0,Normal
2017,Apr,9,4/9/2017,72,57,42,42,37,31,66,47,27,30.23,30.16,30.09,10,10,10,15,7,18,0,Normal
2017,Apr,10,4/10/2017,82,66,50,50,45,40,71,47,22,30.23,30.16,30.1,10,10,10,18,10,24,0,Normal
2017,Apr,11,4/11/2017,84,72,59,55,52,48,72,51,29,30.19,30.13,30.07,10,10,10,14,10,17,0,Normal
2017,Apr,12,4/12/2017,79,71,62,56,49,32,73,49,25,30.3,30.2,30.11,10,10,10,17,9,23,T,Rain
2017,Apr,13,4/13/2017,71,63,54,40,36,29,51,37,22,30.42,30.35,30.31,10,10,2,16,6,22,0,Normal
2017,Apr,14,4/14/2017,73,64,54,46,41,36,66,49,31,30.39,30.35,30.3,10,10,10,14,5,17,0,Normal
2017,Apr,15,4/15/2017,77,66,55,62,53,45,81,68,54,30.38,30.25,30.12,10,10,10,14,6,17,0,Normal
2017,Apr,16,4/16/2017,89,77,65,61,56,50,81,55,28,30.11,30.01,29.91,10,10,10,32,12,38,T,Normal
2017,Apr,17,4/17/2017,74,67,60,61,56,49,87,66,44,30.14,30.03,29.94,10,10,5,20,7,23,0.07,Rain
2017,Apr,18,4/18/2017,72,63,54,55,43,40,84,58,31,30.42,30.31,30.17,10,10,10,20,9,25,0,Normal
2017,Apr,19,4/19/2017,63,58,53,54,49,43,83,72,60,30.46,30.36,30.2,10,10,10,16,9,19,T,Rain
2017,Apr,20,4/20/2017,82,70,57,66,59,54,93,72,51,30.2,30.05,29.92,10,10,3,22,8,27,0.11,"Rain , Thunderstorm"
2017,Apr,21,4/21/2017,81,73,64,69,65,62,100,85,69,29.94,29.86,29.78,10,9,5,21,5,26,0.12,"Rain , Thunderstorm"
2017,Apr,22,4/22/2017,64,58,51,61,56,49,97,92,86,30.05,29.94,29.85,10,7,2,17,10,21,0.31,"Rain , Thunderstorm"
2017,Apr,23,4/23/2017,61,55,49,49,44,40,89,70,51,30.17,30.11,30.05,10,10,10,16,8,21,0,Normal
2017,Apr,24,4/24/2017,57,55,53,52,48,44,93,80,67,30.1,30.05,29.99,10,9,2,21,12,24,0.23,Rain
2017,Apr,25,4/25/2017,61,57,53,59,56,50,100,95,90,29.98,29.82,29.73,10,6,2,26,15,34,0.08,Rain
2017,Apr,26,4/26/2017,72,65,58,60,58,57,93,80,66,29.85,29.76,29.7,10,9,5,13,7,19,0.01,Rain
2017,Apr,27,4/27/2017,83,71,58,66,61,58,97,76,54,29.87,29.82,29.75,10,10,7,17,8,24,T,Normal
2017,Apr,28,4/28/2017,84,75,65,68,62,58,90,65,40,30.04,29.97,29.84,10,10,10,15,8,18,T,"Rain , Thunderstorm"
2017,Apr,29,4/29/2017,91,81,70,72,68,63,97,69,41,30.12,30.05,29.99,10,10,10,18,9,23,0,Thunderstorm
2017,Apr,30,4/30/2017,88,77,66,72,69,64,93,72,51,30.13,30.06,29.99,10,10,5,22,9,29,0,Normal
2017,May,1,5/1/2017,84,74,64,68,65,62,93,74,55,30.03,29.85,29.64,10,10,8,31,14,39,T,Rain
2017,May,2,5/2/2017,80,72,63,67,51,34,84,53,21,29.84,29.7,29.62,10,10,10,29,14,35,0,Normal
2017,May,3,5/3/2017,67,62,56,42,38,35,51,43,34,30.19,30.03,29.84,10,10,10,26,12,35,0,Normal
2017,May,4,5/4/2017,67,60,53,54,46,40,93,69,45,30.23,30.11,29.93,10,10,6,22,12,28,0.13,Rain
2017,May,5,5/5/2017,76,67,58,68,63,55,100,87,73,29.89,29.53,29.37,10,8,1,24,12,31,1.75,"Rain , Thunderstorm"
2017,May,6,5/6/2017,65,58,50,64,51,45,93,83,72,29.61,29.45,29.34,10,9,2,22,11,30,0.07,Rain
2017,May,7,5/7/2017,65,56,46,43,38,33,82,58,34,29.89,29.76,29.63,10,10,10,26,12,32,T,Normal
2017,May,8,5/8/2017,65,56,47,39,30,26,65,45,25,30.02,29.96,29.9,10,10,10,22,9,30,0,Normal
2017,May,9,5/9/2017,67,57,46,40,33,24,71,47,22,30.05,30,29.94,10,10,10,15,7,20,0,Normal
2017,May,10,5/10/2017,76,63,50,50,43,38,83,54,25,30.03,29.98,29.94,10,10,10,17,5,19,0,Normal
2017,May,11,5/11/2017,63,58,52,56,52,45,100,76,52,30.01,29.94,29.9,10,6,2,17,9,22,1.04,"Rain , Thunderstorm"
2017,May,12,5/12/2017,59,55,50,51,48,47,93,83,72,30.03,30.01,29.96,10,10,5,14,9,17,0.31,Rain
2017,May,13,5/13/2017,61,56,50,52,49,48,96,82,67,29.94,29.84,29.8,10,8,4,20,12,25,0.51,Rain
2017,May,14,5/14/2017,82,65,47,56,46,31,100,61,21,29.84,29.76,29.67,10,10,10,30,12,40,T,Normal
2017,May,15,5/15/2017,77,66,54,43,37,24,51,37,23,30.01,29.92,29.84,10,10,10,26,13,31,0,Normal
2017,May,16,5/16/2017,79,67,55,55,51,45,72,56,39,30.11,30.05,30.01,10,10,10,15,7,17,0,Normal
2017,May,17,5/17/2017,91,77,62,66,62,56,78,61,44,30.06,30,29.95,10,10,10,15,9,17,0,Normal
2017,May,18,5/18/2017,88,79,70,71,66,61,90,70,50,30.04,29.97,29.9,10,10,10,28,11,37,0.03,"Rain , Thunderstorm"
2017,May,19,5/19/2017,93,82,70,71,68,65,97,69,41,30.01,29.96,29.91,10,10,10,23,10,27,0,Thunderstorm
2017,May,20,5/20/2017,73,67,61,69,60,41,93,70,46,30.32,30.17,30,10,10,10,18,10,23,0,Normal
2017,May,21,5/21/2017,69,64,59,52,48,41,65,58,51,30.34,30.27,30.19,10,10,10,14,7,16,T,Normal
2017,May,22,5/22/2017,72,65,58,65,60,53,97,85,72,30.18,30.06,29.96,10,9,2,9,4,10,0.34,Rain
2017,May,23,5/23/2017,67,64,60,65,59,55,100,87,73,29.97,29.89,29.75,10,9,5,14,7,18,0.06,Rain
2017,May,24,5/24/2017,66,62,58,59,57,54,93,86,78,29.76,29.73,29.68,10,10,4,21,9,25,0.26,Rain
2017,May,25,5/25/2017,75,67,58,63,59,57,100,82,64,29.69,29.52,29.44,10,7,1,29,10,36,0.75,"Rain , Thunderstorm"
