Date,Bike.Count,Registered.Users,Casual.Users,Total.Dist,Total.Duration,Year,Month,Day,Temp_High,Temp_Avg,Temp_Low,Dew_High,Dew_Avg,Dew_Low,Hum_High,Hum_Avg,Hum_Low,Pres_High,Pres_Avg,Pres_Low,Vis_High,Vis_Avg,Vis_Low,Wind_Avg,Rain_Inches,Rain,Fog,Snow,Thunderstorm,Weekday,Is.Weekend,Is.Holiday
2017-01-01,4063,2483,1580,7572335.648875553,5884614013,2017,Jan,1,55,46,37,36,29,22,76,50,25,30.38,30.21,29.99,10,10,10,5,0.04,0,0,0,0,Sunday,TRUE,0
2017-01-02,1638,1457,181,2939275.711574811,1319894559,2017,Jan,2,45,43,41,44,42,34,100,94,52,30.4,30.32,30.18,10,4,1,7,0.24,1,0,0,0,Monday,FALSE,1
2017-01-03,3771,3517,254,7453461.515503301,2753443210,2017,Jan,3,46,44,43,46,44,42,100,97,85,30.15,29.81,29.56,10,4,1,7,0.79,1,0,0,0,Tuesday,FALSE,0
2017-01-04,7185,6437,748,15116596.349449832,5968535079,2017,Jan,4,57,47,36,49,39,9,100,82,13,29.91,29.62,29.54,10,4,0,8,0,0,1,0,0,Wednesday,FALSE,0
2017-01-05,6214,5812,402,12392822.970297063,4402633739,2017,Jan,5,37,34,30,28,17,9,75,47,23,30.07,29.98,29.92,10,10,5,7,0,0,0,1,0,Thursday,FALSE,0
2017-01-06,5570,5261,309,10736774.435516287,3770667333,2017,Jan,6,34,31,28,30,17,8,82,53,28,30.3,30.12,29.92,10,10,9,12,0,0,0,1,0,Friday,FALSE,0
2017-01-07,1809,1678,131,3337654.1109305276,1315921811,2017,Jan,7,27,23,19,18,11,4,84,63,42,30.36,30.28,30.22,10,7,1,15,0.01,0,0,1,0,Saturday,TRUE,0
2017-01-08,1920,1778,142,3050377.861953098,1230772519,2017,Jan,8,25,20,15,3,0,-3,54,43,32,30.76,30.55,30.36,10,10,10,14,0,0,0,0,0,Sunday,TRUE,0
2017-01-09,4617,4423,194,8713040.067485098,2868768635,2017,Jan,9,29,23,16,9,4,-1,54,44,34,30.8,30.72,30.64,10,10,10,9,0,0,0,0,0,Monday,FALSE,0
2017-01-10,5606,5362,244,10486605.086900003,3789417707,2017,Jan,10,41,32,22,25,15,8,60,49,38,30.61,30.47,30.21,10,10,10,12,0,0,0,0,0,Tuesday,FALSE,0
2017-01-11,7267,6678,589,14574154.1700217,5671585952,2017,Jan,11,57,46,35,49,38,33,92,72,51,30.37,30.27,30.2,10,10,7,9,0.07,1,0,0,0,Wednesday,FALSE,0
2017-01-12,9091,8147,944,18626541.60708764,7802038857,2017,Jan,12,72,62,51,53,51,49,96,73,49,30.2,30.13,30.05,10,10,10,19,0.02,0,0,0,0,Thursday,FALSE,0
2017-01-13,8031,7132,899,16500913.019144949,6396237414,2017,Jan,13,65,54,43,52,35,22,83,61,38,30.69,30.47,30.2,10,10,10,13,0,0,0,0,0,Friday,FALSE,0
2017-01-14,1864,1699,165,3240451.5980310515,1277995330,2017,Jan,14,43,39,34,35,31,24,100,73,45,30.69,30.53,30.35,10,8,2,5,0.29,1,0,0,0,Saturday,TRUE,0
2017-01-15,5348,3912,1436,9950815.301566461,6202755458,2017,Jan,15,49,43,36,35,29,17,92,61,29,30.44,30.38,30.32,10,9,5,6,0,0,0,0,0,Sunday,TRUE,0
