Date,Bike.Count,Registered.Users,Casual.Users,Total.Dist,Total.Duration,Year,Month,Day,Temp_High,Temp_Avg,Temp_Low,Dew_High,Dew_Avg,Dew_Low,Hum_High,Hum_Avg,Hum_Low,Pres_High,Pres_Avg,Pres_Low,Vis_High,Vis_Avg,Vis_Low,Wind_High,Wind_Avg,Wind_Low,Rain_Inches,Rain,Fog,Snow,Thunderstorm
1/1/17,4051,2478,1573,7562036.065,5850584871,2017,Jan,1,55,46,37,36,29,22,76,50,25,30.38,30.21,29.99,10,10,10,13,5,-,0.04,0,0,0,0
1/10/17,5599,5361,238,10484530.34,3666874483,2017,Jan,10,41,32,22,25,15,8,60,49,38,30.61,30.47,30.21,10,10,10,28,12,33,0,0,0,0,0
1/11/17,7261,6671,590,14545427.5,5434111381,2017,Jan,11,57,46,35,49,38,33,92,72,51,30.37,30.27,30.2,10,10,7,23,9,28,0.07,1,0,0,0
1/12/17,9084,8145,939,18620845.12,7941635249,2017,Jan,12,72,62,51,53,51,49,96,73,49,30.2,30.13,30.05,10,10,10,30,19,37,0.02,0,0,0,0
1/13/17,8037,7130,907,16497546.31,6606297559,2017,Jan,13,65,54,43,52,35,22,83,61,38,30.69,30.47,30.2,10,10,10,23,13,28,T,0,0,0,0
1/14/17,1863,1703,160,3249043.567,1185492248,2017,Jan,14,43,39,34,35,31,24,100,73,45,30.69,30.53,30.35,10,8,2,13,5,15,0.29,1,0,0,0
1/15/17,5346,3909,1437,9950679.615,6214737946,2017,Jan,15,49,43,36,35,29,17,92,61,29,30.44,30.38,30.32,10,9,5,14,6,18,0,0,0,0,0
1/16/17,4504,3920,584,8439220.559,3723391442,2017,Jan,16,46,42,38,38,31,26,70,60,49,30.49,30.41,30.31,10,10,9,13,6,14,0.01,1,0,0,0
1/17/17,5566,5387,179,11040792.17,3874217674,2017,Jan,17,53,47,41,52,45,39,100,93,86,30.28,30.05,29.89,10,6,0,14,5,17,0.21,1,1,0,0
1/18/17,7339,6806,533,14631625.73,5977904338,2017,Jan,18,60,52,44,47,43,36,100,74,47,30.1,29.94,29.88,10,5,0,25,11,31,0,0,1,0,0
1/19/17,7360,6339,1021,14767847.64,7258240298,2017,Jan,19,53,47,40,39,37,36,93,76,59,30.12,30.07,30.03,10,10,10,13,6,16,0,0,0,0,0
1/2/17,1642,1458,184,2931481.855,1286499772,2017,Jan,2,45,43,41,44,42,34,100,94,52,30.4,30.32,30.18,10,4,1,12,7,-,0.24,1,0,0,0
